sample,sex,5rkoq8,UY2L9w,JeaMAf,sTE1Lh,HRycv8,leBKkU,IoA96c,QEjQSN,TlMBKX,JVwTRA,NTRpFI,MpUdlW,o9rIrP,5KuU3v,Wlbc5X,ezHptm,bndusG,65niuq,MZGScT,c0WlCm,dr3iqO,Hn4yUh,Hb2Lzc,MG2amx,kYhk3H,DWQHLA,ez11SZ,qOOFM0,7BKj9h,ke8Qra,qyLdfI,sik7jn,fg96mO,X7cdMs,Luv2A7,l8RIEa,GgSJ3l,2QHkVh,aljB8a,KQDR0q,5eQaBF,ZwbMH0,VrDWxD,E9F53X,QcQdfG,joFsSV,WzPtUt,NadAtC,mBDwBT,9KNs0C,IftfN6,HIlW21,KHtVL1,xelXWJ,TSTUjt,2SAvc2,HovgC8,Q0H0EL,r4HAeL,p4cVfW,01RY1f,1LEQ2C,hlLXaq
20,male,45,-0.394,-1.026792786,-0.394,1.446027938,-0.949592317,1.04554215,0.144910554,-0.981969828,1.24318195,-0.487997508,-0.230373114,-0.064496181,1.011113891,0.224522547,0.743997829,-0.181665669,0.747467551,0.301897188,-0.293155872,0.760647001,-0.157276297,0.793593461,0.571120001,-0.005981054,-0.111328684,-0.845661523,0.170070331,-0.60775163,-1.015545449,-0.698039137,-1.188475172,-0.560321976,0.08499231,-0.791239901,0.061805695,-0.738072273,0.08499231,-0.791239901,0.061805695,-0.738072273,-0.976635305,1.456502085,-1.214408656,-0.394,0.566430638,-0.394,-0.736438457,-0.474117638,0.003987098,-0.394,0.710491809,1.622446619,0.70322821,0.34056676,0.907256079,0.435554368,-0.754888229,-0.062939146,-0.117202246,0.096877494,-0.324663667,1.607154469
21,male,46,-0.394,-0.971277147,-0.394,1.533282632,-1.201880278,0.888931497,0.133993112,-0.846028748,1.026174832,-0.737598005,-0.432929212,-0.105958397,0.956954566,0.158857039,0.853697371,-0.371581065,0.950919021,0.077937059,-0.586882633,0.841300724,-0.532401218,0.730402591,0.37575914,-0.09614886,-0.181822097,-0.709904899,0.374393095,-0.469944911,-0.673873738,-0.60775163,-1.015545449,-0.748076261,-0.104983798,-0.821650037,0.040397611,-0.698039137,-0.104983798,-0.821650037,0.040397611,-0.698039137,-1.188475172,1.27475567,-1.145502707,-0.394,0.25668686,-0.394,-0.60860643,-0.657198746,0.065690835,-0.394,0.580565033,1.815086041,0.721391861,0.433595012,0.6105499,0.270849328,-0.727223623,-0.353297214,0.110013832,-0.394,-0.288409003,1.430725932
22,male,61,-0.394,-1.041605441,-0.394,1.556864877,-0.936564157,1.034442422,0.05961594,-0.861366535,1.206436425,-0.513515277,-0.197600668,0.003743625,1.058056658,0.331200007,0.783421443,0.137088923,0.743940049,0.337326231,-0.405684247,0.88390437,-0.214398235,0.81050458,0.59811484,0.09426078,1.512372352,-0.394,-0.181822097,-0.709904899,0.374393095,-0.469944911,-0.673873738,-0.430426392,-0.111328684,-0.845661523,0.170070331,-0.60775163,-0.111328684,-0.845661523,0.170070331,-0.60775163,-1.015545449,1.516060536,-1.091673388,-0.394,0.42855146,-0.394,-0.54450979,-0.560456538,0.099779078,-0.394,0.737792179,1.624929441,0.726623023,-0.112101678,0.825095262,0.405554057,-0.704459565,-0.1708166,0.096877494,-0.394,-0.258015292,1.568244615
23,male,55,-0.394,-0.739607537,-0.394,1.641466668,-0.710457814,1.270385667,0.196308015,-0.883570511,1.422737214,-0.04194349,0.085700059,0.246838091,1.180390634,0.346599064,0.81101527,0.353590925,0.711699421,0.6400494,0.020633691,0.077937059,-0.586882633,1.042577096,0.817099067,0.240211364,1.464931833,-0.394,-0.929746243,-0.617780572,-0.642525855,0.433595012,0.620760426,-0.257796162,-0.181822097,-0.709904899,0.374393095,-0.469944911,-0.181822097,-0.709904899,0.374393095,-0.469944911,-0.673873738,1.611250208,-1.282271599,-0.394,0.740933875,-0.394,-0.301505539,-0.207215866,0.240961703,-0.394,1.137958289,1.490790752,0.88730364,-0.471370132,1.133076627,0.837110422,-0.479443497,0.290443424,-0.471370132,0.041452289,-0.308853803,1.733400301
24,male,62,-0.394,-0.566929852,-0.394,1.74325013,-0.978992173,1.105406774,0.138589092,-0.717603219,1.308143961,-0.386395139,-0.115495818,0.187650253,1.25582178,0.192908095,0.963874492,-0.380207553,0.637101262,0.090296505,-0.303226499,0.337326231,-0.405684247,0.927848966,0.703191674,1.111233048,1.198936457,-0.730167635,-0.554795887,-0.642525855,0.433595012,-0.394,0.366651821,-0.445976069,-0.296250134,-0.659868977,0.275644625,-0.731988173,-0.91232504,-0.394,0.249525857,1.292527077,1.250226252,1.234915813,-1.225320544,-0.394,0.414791239,-0.394,-0.243316295,-0.37243847,0.189478084,-0.394,0.954771069,1.507303989,0.808706707,-0.027969384,0.972840445,0.655321831,-0.547156652,0.008469706,-0.027969384,0.755486378,-0.394698317,1.629161637
25,female,52,-0.394,-0.394,1.046313267,1.161437379,0.039598461,1.689707167,-0.394,-0.600935583,1.93457039,0.067917548,0.166599702,0.19170435,0.746491517,1.21444412,1.305730886,0.617806817,0.433961579,1.115390422,-0.014485238,0.6400494,0.020633691,0.778270429,0.598917808,1.003375868,1.035181962,-0.929746243,-0.635985413,0.755486378,0.729284025,-0.166539377,1.612460859,0.242985703,0.36199581,-0.705752218,0.244933026,-0.536962184,-0.59327683,-0.15412516,-0.394,1.925786616,1.440229532,0.895711361,-0.394,-0.394,0.756420642,-0.923871355,-0.394,-0.64191609,0.101224877,-0.119862269,-0.286273197,2.182884514,0.742686441,-0.117202246,-0.394,0.402589647,-0.394,0.774051288,-0.117202246,0.34056676,-0.392170536,2.092251464
26,female,41,-0.394,-0.394,1.067565663,1.112216637,-0.192970007,1.554459688,-0.394,-0.692562151,1.817911993,-0.10237746,-0.062689546,0.238387317,0.779031012,1.216717999,1.386249979,0.562465542,0.803599141,1.032886628,-0.108072152,0.090296505,-0.303226499,0.821399984,0.918232506,1.274833367,1.416971045,-0.554795887,-0.617780572,0.34056676,0.443046522,-0.378958726,1.432176472,-0.033371491,0.352116927,-0.733902268,0.04763658,-0.364711146,-0.829794786,-0.440768571,-0.394,2.002109549,1.542806159,0.902705817,-0.394,-0.394,0.518815679,-0.722317907,-0.394,-0.584822664,0.086328231,0.152650989,-0.427508095,2.304948595,0.767391729,0.110013832,-0.394,0.396302367,-0.394,0.601230086,0.110013832,0.433595012,-0.37810866,1.94547255
27,female,62,-0.394,-0.394,1.048862619,1.302672599,-0.537659364,1.285137373,-0.394,-0.691376561,1.571261011,-0.288653611,-0.362233551,0.206759815,0.852162823,1.15124145,1.277284193,0.506115003,0.803832636,0.905395117,-0.348783373,1.115390422,-0.014485238,0.781066095,0.866031766,1.239072797,1.400476176,-0.635985413,-0.642525855,0.433595012,-0.036123454,-0.705839608,1.146313919,-0.382879899,0.342454273,-0.518105581,0.353453351,-0.340809617,-0.703777146,-0.935818357,-0.394,1.941719484,1.454312672,1.007077626,-0.394,-0.394,0.159204329,-0.847128625,-0.394,-0.683354583,0.179591224,0.568554232,-0.433775874,2.29661521,0.803685689,0.096877494,-0.394,0.433110324,-0.394,0.275694813,0.096877494,-0.112101678,-0.389372829,1.687769742
28,female,50,-0.394,-0.394,1.107849171,1.160589694,-0.27987229,1.513054519,0.166020603,-0.650555194,1.791766916,-0.119129132,-0.106374874,0.070349268,0.842373192,1.172007226,1.228347112,0.497563497,0.749054273,0.760647001,-0.157276297,1.032886628,-0.108072152,0.77668967,0.87700459,1.179932924,1.43277151,-0.617780572,0.34056676,-0.169254137,0.359619897,-0.421416275,1.397091306,-0.10523423,0.226061956,-0.666517683,0.208715982,-0.675996193,-0.501576494,-0.503935004,-0.394,1.946876172,1.465164317,-0.617780572,-0.642525855,0.433595012,0.620760426,-0.257796162,-0.181822097,-0.709904899,0.374393095,-0.469944911,-0.181822097,-0.709904899,-0.617780572,-0.642525855,0.433595012,0.620760426,-0.257796162,-0.181822097,-0.709904899,-0.471370132,-0.469944911,-0.181822097
29,female,56,-0.394,-0.394,0.768320605,1.327423057,-0.537558019,1.170704666,0.334470557,-0.899298609,1.432609386,-0.46998192,-0.371861759,0.166020603,0.660592874,1.051891451,0.95997021,0.148006346,0.680371987,0.841300724,-0.532401218,0.905395117,-0.348783373,0.760462946,0.829856743,1.153602004,1.148452158,-0.642525855,0.433595012,-0.292513574,0.064108608,-0.778244577,1.016398116,-0.524128537,0.119098724,-0.810604151,0.335561644,-0.858631508,-0.918826915,-0.820594249,-0.394,1.692244091,1.252098301,-0.642525855,0.433595012,-0.394,0.366651821,-0.445976069,-0.296250134,-0.659868977,0.275644625,-0.731988173,-0.91232504,-0.394,-0.642525855,0.433595012,-0.394,0.366651821,-0.445976069,-0.296250134,-0.659868977,-0.027969384,-0.731988173,-0.91232504
30,female,63,-0.394,-0.394,1.1389678,1.345705905,-0.451050793,1.367323773,0.097587043,-0.675493754,1.660401398,-0.215483484,-0.184381378,0.334470557,0.880062516,1.187876163,1.309731366,0.401567147,0.849981374,0.88390437,0.703191674,1.111233048,1.198936457,0.578389553,0.535119078,0.860593871,1.114014001,0.170021179,-0.730167635,-0.114922821,0.136788206,-0.555689364,1.238208633,-0.24965211,0.257010141,-0.683205423,0.407220764,-0.589357161,-0.516086246,-0.740990279,-0.394,1.945210083,1.483050561,0.755486378,0.729284025,-0.166539377,1.612460859,0.242985703,0.36199581,-0.705752218,0.244933026,-0.536962184,-0.59327683,-0.15412516,0.755486378,0.729284025,-0.166539377,1.612460859,0.242985703,0.36199581,-0.705752218,-0.117202246,-0.536962184,-0.59327683
31,female,47,-0.394,-0.394,0.958073252,1.10356479,-0.404059149,1.37902898,0.069892667,-0.688826828,1.659552695,-0.275902399,-0.219743655,0.097587043,0.703191674,1.111233048,1.198936457,0.578389553,0.619531624,0.984981591,0.598917808,1.003375868,1.035181962,0.276365678,0.478773607,0.776693784,1.251588855,0.169382381,-0.929746243,-0.0619459,0.229352054,-0.586086076,1.263392072,-0.24809527,0.239779221,-0.730167635,-0.114922821,-0.520908734,-0.706342775,-0.646033538,-0.394,1.936806572,1.450027788,0.34056676,0.443046522,-0.378958726,1.432176472,-0.033371491,0.352116927,-0.733902268,0.04763658,-0.364711146,-0.829794786,-0.440768571,0.34056676,0.443046522,-0.378958726,1.432176472,-0.033371491,0.352116927,-0.733902268,0.110013832,-0.364711146,-0.829794786
32,female,45,-0.394,-0.394,0.866136287,1.12753387,-0.602188342,1.132102878,0.362311903,-0.807529478,1.381857326,-0.574321421,-0.526203145,0.069892667,0.598917808,1.003375868,1.035181962,0.276365678,0.657250544,0.725175342,0.918232506,1.274833367,1.416971045,0.732306814,0.681138343,0.685077168,1.25568028,0.128597783,-0.554795887,0.041452289,0.020325037,-0.776587396,0.956180213,-0.441833975,0.02272092,-0.929746243,-0.0619459,-0.447647996,-1.110310223,-0.881998277,-0.394,1.749610275,1.330802744,0.433595012,-0.036123454,-0.705839608,1.146313919,-0.382879899,0.342454273,-0.518105581,0.353453351,-0.340809617,-0.703777146,-0.935818357,0.433595012,-0.036123454,-0.705839608,1.146313919,-0.382879899,0.342454273,-0.518105581,0.096877494,-0.340809617,-0.703777146
33,female,46,-0.394,-0.394,1.143287259,1.229764578,-0.18417872,1.563227992,0.166020603,-0.596900623,1.86261509,-0.016699553,-0.003883925,0.362311903,0.918232506,1.274833367,1.416971045,0.732306814,0.993619012,1.009401295,0.866031766,1.239072797,1.400476176,0.700747906,1.161893204,-0.394,2.167658551,-0.373475386,-0.635985413,0.755486378,0.415233718,-0.366741954,1.489980609,0.048491949,0.469388543,-0.554795887,0.041452289,-0.161963974,-0.587041376,-0.423914544,-0.394,2.155801973,1.662394269,-0.169254137,0.359619897,-0.421416275,1.397091306,-0.10523423,0.226061956,-0.666517683,0.208715982,-0.675996193,-0.501576494,-0.503935004,-0.169254137,0.359619897,-0.421416275,1.397091306,-0.10523423,0.226061956,-0.666517683,0.208715982,-0.675996193,-0.501576494
